Study#,TreatmentInt,Treatment,Group,Assignment#,Alias,Line,Branch,Conditional,Redundancies,AssignmentGrade,Number of Submissions,Avg LC % Change,Avg BC % Change,Avg CC % Change,Avg R % Change,Avg Time Between Submissions
1,2,Conceptual,B,2,S06,0.8,0.77,0.4,2,77.5,3,-0.015873016,0.320261438,0.025089606,-0.333333333,6.375325
1,2,Conceptual,B,2,S07,0.75,0.43,0.48,2,71.25,4,0.121856242,0.040682722,-0.01635514,0.282738095,5.7753
1,2,Conceptual,B,2,S08,0.24,0.34,0.26,6,52.5,3,0.320261438,-0.009708738,-0.018867925,0.133333333,3.2625
1,2,Conceptual,B,2,S09,0.31,0.72,0.54,3,66.25,3,0,-0.027522936,0.054263566,0.208333333,6.1789
1,2,Conceptual,B,2,S10,0.79,0.82,0.72,1,83.75,1,0,0,0,0,0
1,2,Conceptual,B,2,S11,0.51,0.38,0.85,4,68.75,3,-0.037511871,0.025089606,-0.027522936,0.066666667,7.288875
1,2,Conceptual,B,2,S12,0.59,0.33,0.69,5,62.5,3,-0.024691358,0.083333333,0.150906225,0.106481481,3.8346
1,2,Conceptual,B,2,S13,0.7,0.53,0.29,3,66.25,3,0.1875,0.276606818,0.171717172,0.277777778,2.27375
1,2,Conceptual,B,2,S14,0.67,0.25,0.62,4,67.5,5,-0.013084112,0.285050798,0.248949336,0.16987013,5.739268824
1,2,Conceptual,B,2,S15,0.8,0.33,0.8,3,76.25,3,0,0.032967033,0.307692308,0.166666667,5.773625
1,1,Raw,A,3,S01,0.55,0.23,0.23,2,62.5,2,0.037634409,0.049450549,0.026315789,0.166666667,6.555
1,1,Raw,A,3,S02,0.4,0.49,0.54,8,55,7,0.005648213,0.008656912,0.016705069,0.043145743,6.448548983
1,1,Raw,A,3,S03,0.29,0.42,0.2,1,61.25,6,0.015491453,0.025255446,0.002722049,0.180555556,8.069303298
1,1,Raw,A,3,S04,0.52,0.34,0.23,6,55,1,0,0,0,0,0
1,1,Raw,A,3,S05,0.39,0.43,0.37,8,50,7,0.021260744,-0.018668264,0.022396929,0.043145743,7.292236199
1,1,Raw,A,3,S06,0.7,0.27,0.43,8,55,7,0.015047486,0.019521697,-0.01296647,0.040594723,7.397349497
1,1,Raw,A,3,S07,0.38,0.41,0.42,5,55,3,0.007008948,0.024198167,0.050179211,0.055555556,7.942
1,1,Raw,A,3,S08,0.4,0.62,0.23,1,66.25,6,0.00877193,0,0.028656807,0.125,7.108138902
1,1,Raw,A,3,S09,0.2,0.21,0.54,4,60,2,0,0,0,0,5.985
1,1,Raw,A,3,S10,0.36,0.55,0.33,1,63.75,9,0.033673928,-0.009174312,0.01175311,0.166666667,5.478295714
1,1,Raw,A,3,S11,0.63,0.21,0.5,1,68.75,6,0.026687598,-0.010360107,0.023962149,0,7.165293564
1,1,Raw,A,3,S12,0.53,0.43,0.43,7,55,8,0.025652439,0.040079364,0.022661935,-0.020833333,8.177759279
1,1,Raw,A,3,S13,0.23,0.51,0.21,3,61.25,3,0.025089606,-0.018867925,0.024643599,0.083333333,3.5295
1,2,Conceptual,B,3,S01,0.75,0.74,0.72,5,73.75,1,0,0,0,0,0
1,2,Conceptual,B,3,S02,0.26,0.43,0.62,5,60,3,0.179487179,0.058823529,-0.015873016,0.166666667,2.73615
1,2,Conceptual,B,3,S03,0.57,0.48,0.65,1,71.25,2,0,0.037634409,0,0.333333333,2.12625
1,2,Conceptual,B,3,S04,0.51,0.81,0.5,3,72.5,3,0.156862745,0.216374269,0.029572208,0.232142857,4.27125
1,2,Conceptual,B,3,S05,0.5,0.31,0.81,2,71.25,3,-0.015873016,0.093031152,0,0.277777778,5.149
1,2,Conceptual,B,3,S06,0.31,0.3,0.25,4,57.5,1,0,0,0,0,0
1,2,Conceptual,B,3,S07,0.85,0.36,0.31,5,63.75,4,0.163309585,0.066978193,0.163684904,-0.145833333,5.204878125
1,2,Conceptual,B,3,S08,0.85,0.5,0.25,5,66.25,4,0.12426986,0.303391053,0.015957447,0.071428571,5.652831
1,2,Conceptual,B,3,S09,0.83,0.28,0.42,3,67.5,4,0.054878049,0.166666667,0.120052278,-0.125,5.838634688
1,2,Conceptual,B,3,S10,0.38,0.84,0.64,4,71.25,5,0.195549614,0.062814339,0.111575198,0.108888889,5.256510585
1,2,Conceptual,B,3,S11,0.28,0.83,0.81,4,75,2,0,0,-0.019230769,0,1.44375
1,2,Conceptual,B,3,S12,0.48,0.75,0.35,4,68.75,3,0.123287671,-0.009708738,0.105263158,-0.111111111,3.342975
1,2,Conceptual,B,3,S13,0.8,0.76,0.68,3,81.25,1,0,0,0,0,0
