Study#,TreatmentInt,Treatment,Group,Assignment#,Alias,Line,Branch,Conditional,Redundancies,AssignmentGrade,Number of Submissions,Avg LC % Change,Avg BC % Change,Avg CC % Change,Avg R % Change,Avg Time Between Submissions
2,1,Raw,A,3,S11,0.64,0.51,0.6,8,62.5,2,0,0,0.031914894,0,4.095
2,1,Raw,A,3,S12,0.64,0.59,0.7,7,65,8,0.011892892,-0.00686488,0.010529744,0.042013889,5.316152786
2,1,Raw,A,3,S13,0.23,0.53,0.65,4,65,7,0.019941157,0.020772595,0.023247269,0.028571429,5.713427279
2,1,Raw,A,3,S14,0.5,0.66,0.59,6,62.5,7,0.00394774,0.023635981,0.007518797,0.051587302,7.669379279
2,1,Raw,A,3,S15,0.24,0.62,0.63,1,71.25,1,0,0,0,0,0
2,2,Conceptual,B,3,S01,0.3,0.58,0.42,4,60,3,0.156565657,0.22475783,0.25892317,0.233333333,5.8509
2,2,Conceptual,B,3,S02,0.45,0.55,0.37,4,62.5,2,-0.004950495,0,0,0.25,2.7
2,2,Conceptual,B,3,S03,0.68,0.43,0.82,1,75,1,0,0,0,0,0
2,2,Conceptual,B,3,S04,0.28,0.55,0.69,1,68.75,1,0,0,0,0,0
2,2,Conceptual,B,3,S05,0.8,0.28,0.5,1,72.5,3,-0.043613707,0,-0.027522936,0.166666667,3.5739
2,2,Conceptual,B,3,S06,0.82,0.3,0.42,2,68.75,2,0,0,0,0,2.8875
2,2,Conceptual,B,3,S07,0.69,0.64,0.71,5,70,2,0,0.184931507,0.224637681,0,4.725
2,2,Conceptual,B,3,S08,0.27,0.64,0.83,2,73.75,5,-0.013084112,0.127868852,0.152132356,0,5.726020509
2,2,Conceptual,B,3,S09,0.73,0.72,0.45,4,70,5,0.113316096,-0.010328194,0.077777778,0.154545455,4.866272312
2,2,Conceptual,B,3,S10,0.37,0.83,0.26,4,66.25,4,0.038222427,0.141233766,0.222408196,0.20995671,5.010759
2,2,Conceptual,B,3,S11,0.46,0.67,0.41,1,68.75,5,0.107692308,0.299829612,0,0.2,5.48511978
2,2,Conceptual,B,3,S12,0.4,0.44,0.54,1,63.75,1,0,0,0,0,0
2,2,Conceptual,B,3,S13,0.33,0.58,0.7,2,67.5,5,0.163636364,0.038095238,0.128603721,-0.033333333,4.5841605
2,2,Conceptual,B,3,S14,0.82,0.62,0.8,5,77.5,3,0.307692308,0.367484367,0.402356902,0,6.1194
2,2,Conceptual,B,3,S15,0.54,0.32,0.64,2,67.5,2,0.28125,0,0,0.166666667,5.52
2,2,Conceptual,B,3,S16,0.74,0.48,0.69,3,71.25,4,0.010416667,0.070512821,0.102112676,0.225,6.7597875
2,1,Raw,A,4,S01,0.48,0.56,0.67,8,60,8,-0.003209492,0.022683184,0.022489366,0.012152778,6.151203392
2,1,Raw,A,4,S02,0.52,0.38,0.59,7,57.5,3,0.024346581,0.003367003,0.025089606,0.041666667,11.3784
2,1,Raw,A,4,S03,0.52,0.25,0.65,6,60,6,0.012099084,0.022890608,-0.01195992,0.079828042,5.200211279
2,1,Raw,A,4,S04,0.55,0.7,0.53,5,65,8,-0.022569444,0.000208643,0.008584827,0.048065476,6.692822434
2,1,Raw,A,4,S05,0.59,0.27,0.6,2,67.5,9,0.010464726,0.02535055,-0.000417552,0.068518519,6.248777889
2,1,Raw,A,4,S06,0.7,0.29,0.28,4,62.5,5,0.017073965,-0.004878343,0.032546177,-0.066666667,5.7110628
2,1,Raw,A,4,S07,0.38,0.56,0.41,2,62.5,3,-0.018867925,0,0,-0.333333333,9.603
2,1,Raw,A,4,S08,0.4,0.57,0.33,2,62.5,1,0,0,0,0,0
2,1,Raw,A,4,S09,0.51,0.69,0.55,1,71.25,1,0,0,0,0,0
2,1,Raw,A,4,S10,0.69,0.5,0.58,3,68.75,6,0.003917561,0.028117193,0.030410085,0.033333333,6.105446458
2,1,Raw,A,4,S11,0.53,0.65,0.34,7,60,3,-0.012820513,0.020618557,0.006802721,-0.007936508,6.0507
2,1,Raw,A,4,S12,0.39,0.28,0.29,7,52.5,4,0.037883169,0.046464405,-0.005360624,0.059027778,10.504077
2,1,Raw,A,4,S13,0.28,0.42,0.54,7,55,7,0.027593311,0.013536803,0.005076018,0.061002886,8.452045358
2,1,Raw,A,4,S14,0.69,0.52,0.38,7,60,7,-0.007379067,-0.024600715,0.027493282,-0.005102041,6.025042721
2,1,Raw,A,4,S15,0.29,0.49,0.37,3,61.25,5,0.014607948,0.021052632,-0.00871298,0,8.676632346
2,2,Conceptual,B,4,S01,0.58,0.4,0.58,5,60,1,0,0,0,0,0
2,2,Conceptual,B,4,S02,0.71,0.4,0.42,3,63.75,4,0.024725275,0.087837838,-0.011904762,0.225,5.2195185
2,2,Conceptual,B,4,S03,0.58,0.61,0.79,4,73.75,1,0,0,0,0,0
2,2,Conceptual,B,4,S04,0.47,0.69,0.71,2,72.5,3,-0.024691358,0.136150235,-0.021806854,0,4.9992
2,2,Conceptual,B,4,S05,0.47,0.5,0.75,2,73.75,3,-0.009708738,0.083333333,0,0.222222222,4.58575
2,2,Conceptual,B,4,S06,0.35,0.3,0.73,5,60,3,0.320261438,0.222222222,-0.009708738,0.03968254,6.2682
2,2,Conceptual,B,4,S07,0.37,0.48,0.3,1,63.75,2,-0.004950495,0.026315789,0.204225352,0.4,3.8775
2,2,Conceptual,B,4,S08,0.38,0.8,0.79,3,76.25,4,0.350722105,0.106778937,0.150750559,0.211111111,5.568721875
2,2,Conceptual,B,4,S09,0.51,0.54,0.39,1,66.25,2,0,-0.019230769,0,0.375,2.91
2,2,Conceptual,B,4,S10,0.33,0.31,0.58,3,61.25,5,0.035294118,0.204567846,0.037799043,0.05,4.23831
2,2,Conceptual,B,4,S11,0.39,0.36,0.76,1,70,2,0,-0.023809524,0.081395349,0.4,5.54625
2,2,Conceptual,B,4,S12,0.6,0.79,0.41,5,68.75,3,0.006802721,0.021276596,0.24137931,0.125,3.087
2,2,Conceptual,B,4,S13,0.31,0.3,0.56,4,60,1,0,0,0,0,0
2,2,Conceptual,B,4,S14,0.43,0.53,0.77,2,71.25,3,0.156862745,0,0.105263158,0.055555556,5.152875
2,2,Conceptual,B,4,S15,0.8,0.42,0.64,5,68.75,3,-0.01843985,0,0.01754386,0.148148148,4.86975
2,2,Conceptual,B,4,S16,0.38,0.37,0.56,3,61.25,2,0.081395349,0.005050505,0.043478261,0.125,6.62625
2,1,Raw,A,5,S01,0.31,0.25,0.5,1,63.75,5,-0.001459998,0.023898152,0.027943485,0.256666667,9.137174496
2,1,Raw,A,5,S02,0.33,0.46,0.51,7,57.5,4,0.002525253,0.015518707,0.015683147,0.059027778,7.1793
2,1,Raw,A,5,S03,0.29,0.57,0.5,7,57.5,2,0,0,0,0,7.8
2,1,Raw,A,5,S04,0.46,0.36,0.61,2,67.5,1,0,0,0,0,0
2,1,Raw,A,5,S05,0.21,0.39,0.45,3,61.25,2,0,0,0.037634409,0.125,5.865
2,1,Raw,A,5,S06,0.45,0.24,0.58,5,60,9,0.026710972,0.020734349,0.01827924,0.015873016,6.642413271
2,1,Raw,A,5,S07,0.53,0.44,0.59,4,62.5,6,0.03569667,0.03242968,0.016483516,-0.013888889,6.784249741
2,1,Raw,A,5,S08,0.31,0.37,0.64,7,57.5,8,-0.003917936,0.02481239,0.013379312,0.073409577,7.612821657
2,1,Raw,A,5,S09,0.29,0.52,0.47,7,57.5,8,0.026789902,0.024494829,-0.016975069,-0.002232143,7.1476822
2,1,Raw,A,5,S10,0.4,0.27,0.52,4,60,7,0.011854904,0.01788944,0.027576274,0.065646259,8.263331107
2,1,Raw,A,5,S11,0.6,0.42,0.42,5,60,8,0.013633122,0.01892898,0.028015897,-0.010416667,7.603148869
2,1,Raw,A,5,S12,0.2,0.2,0.31,5,55,7,0.029222864,0.019714487,0.020446149,0.016666667,6.908421091
2,1,Raw,A,5,S13,0.56,0.22,0.3,2,62.5,7,-0.006376799,0.018254112,0.013536803,0.173979592,5.88541422
2,1,Raw,A,5,S14,0.33,0.2,0.6,8,55,7,0.004358453,0.010368858,0.016780814,-0.005102041,8.278063987
2,1,Raw,A,5,S15,0.65,0.35,0.27,4,62.5,7,0.004418262,0.01252972,0.01246056,0.052380952,8.291455198
2,2,Conceptual,B,5,S01,0.53,0.36,0.83,2,71.25,5,0.163492063,0.226780627,-0.002557796,0.215584416,3.56923644
2,2,Conceptual,B,5,S02,0.94,0.52,0.62,4,77.5,5,0.051960784,0.142328042,0.109830867,0.101904762,5.89960368
2,2,Conceptual,B,5,S03,0.37,0.55,0.81,2,71.25,5,0.040080445,0.004081633,0.268444056,0.033333333,4.48795104
2,2,Conceptual,B,5,S04,0.89,0.51,0.84,3,78.75,3,0.457450762,-0.012065203,0,-0.166666667,3.045
2,2,Conceptual,B,5,S05,0.68,0.81,0.86,1,83.75,1,0,0,0,0,0
2,2,Conceptual,B,5,S06,0.72,0.94,0.89,4,83.75,3,0,-0.006535948,0.014740648,-0.027777778,3.7444
2,2,Conceptual,B,5,S07,0.82,0.65,0.76,0,85,4,0.028907524,0.188596491,-0.01635514,0.25,4.89133125
2,2,Conceptual,B,5,S08,0.51,0.66,0.71,0,75,3,0.283950617,0.283950617,0.435336976,0.333333333,3.860375
2,2,Conceptual,B,5,S09,0.52,0.95,0.84,4,81.25,5,0.277966102,0.118518519,0.164865946,0.058333333,4.08863532
2,2,Conceptual,B,5,S10,0.55,0.72,0.83,3,75,1,0,0,0,0,0
2,2,Conceptual,B,5,S11,0.88,0.51,0.55,1,75,2,0,-0.037037037,0,0,1.8675
2,2,Conceptual,B,5,S12,0.82,0.51,0.76,3,78.75,5,0.139556438,0.022222222,0.160355821,0.179545455,5.650124355
2,2,Conceptual,B,5,S13,0.62,0.92,0.77,1,87.5,3,0.272727273,0.309827718,0,0.277777778,3.93675
2,2,Conceptual,B,5,S14,0.71,0.41,0.47,4,65,3,0.150906225,0.376018247,0.077380952,0.185185185,3.801875
2,2,Conceptual,B,5,S15,0.76,0.83,0.53,4,77.5,4,-0.018518519,0.118230359,0.133550995,0.163888889,6.87832875
2,2,Conceptual,B,5,S16,0.84,0.79,0.52,2,80,5,0.211551836,0.298822125,0.22570157,0.26952381,4.35231303
